Weight class,fighter1,fighter2,outcome,F1_Str,F2_Str,F1_Td,F2_Td,F1_Kd,F2_Kd,F1_Sub,F2_Sub
Middleweight,Sean Strickland,Dricus Du Plessis,fighter2,128,147,0,1,0,0,0,0
Women's Strawweight,Tatiana Suarez,Zhang Weili,fighter2,12,53,1,1,0,0,0,1
Heavyweight,Justin Tafa,Tallison Teixeira,fighter2,0,8,0,0,0,1,0,0
Light Heavyweight,Rodolfo Bellato,Jimmy Crute,Draw,89,106,1,0,0,1,0,0
Welterweight,Francisco Prado,Jake Matthews,fighter2,59,68,1,0,0,0,0,0
Featherweight,Jack Jenkins,Gabriel Santos,fighter2,34,39,0,4,1,0,0,2
Lightweight,Viacheslav Borshchev,Tom Nolan,fighter2,66,69,0,1,0,0,1,3
Women's Flyweight,Bruna Brasil,Wang Cong,fighter2,31,103,0,2,0,0,0,0
Bantamweight,Colby Thicknesse,Aleksandre Topuria,fighter2,38,41,0,1,0,0,0,0
Lightweight,Kody Steele,Rongzhu,fighter2,59,125,1,0,0,1,0,0
Welterweight,Kevin Jousset,Jonathan Micallef,fighter2,67,85,0,0,0,1,0,0
Lightweight,Anshul Jubli,Quillan Salkilld,fighter2,0,6,0,0,0,1,0,0
Middleweight,Israel Adesanya,Nassourdine Imavov,fighter2,26,15,0,0,0,1,0,0
Middleweight,Shara Magomedov,Michael Page,fighter2,38,43,0,0,0,0,0,0
Heavyweight,Jairzinho Rozenstruik,Sergei Pavlovich,fighter2,17,25,0,2,0,0,0,0
Bantamweight,Said Nurmagomedov,Vinicius Oliveira,fighter2,38,43,1,3,0,0,0,1
Lightweight,Mike Davis,Fares Ziam,fighter2,20,35,1,4,0,0,1,0
Featherweight,Kaan Ofli,Muhammad Naimov,fighter2,31,32,0,2,0,0,0,0
Heavyweight,Thomas Petersen,Shamil Gaziev,fighter2,19,14,1,0,0,1,0,0
Lightweight,Damir Hadzovic,Terrance McKinney,fighter2,4,54,1,0,0,0,0,1
Women's Flyweight,Mayra Bueno Silva,Jasmine Jasudavicius,fighter2,37,56,0,3,0,0,1,0
Featherweight,Lucas Alexander,Bogdan Grad,fighter2,34,46,0,3,0,0,0,0
Heavyweight,Jamal Pogues,Hamdy Abdelwahab,fighter2,69,44,0,1,0,0,0,0
Lightweight,Renato Moicano,Islam Makhachev,fighter2,9,6,0,1,0,0,0,1
Bantamweight,Umar Nurmagomedov,Merab Dvalishvili,fighter2,104,111,2,7,0,0,0,0
Light Heavyweight,Jamahal Hill,Jiri Prochazka,fighter2,81,97,0,0,0,2,0,0
Heavyweight,Serghei Spivac,Jailton Almeida,fighter2,15,23,1,1,0,0,0,0
Middleweight,Kevin Holland,Reinier de Ridder,fighter2,11,12,0,2,0,0,0,1
Bantamweight,Payton Talbott,Raoni Barcelos,fighter2,49,62,1,8,0,0,0,2
Middleweight,Zachary Reese,Azamat Bekoev,fighter2,13,21,0,1,0,0,0,0
Light Heavyweight,Billy Elekana,Bogdan Guskov,fighter2,20,47,1,0,0,0,0,2
Lightweight,Diego Ferreira,Grant Dawson,fighter2,41,56,0,6,0,0,0,0
Women's Bantamweight,Ailin Perez,Karol Rosa,fighter1,62,53,2,0,0,0,0,0
Bantamweight,Muin Gafurov,Rinya Nakamura,fighter1,37,31,0,0,1,0,0,1
Bantamweight,Benardo Sopaj,Ricky Turcios,fighter1,81,78,2,1,1,0,0,0
Flyweight,Tagir Ulanbekov,Clayton Carpenter,fighter1,42,42,3,1,0,0,0,0
Women's Strawweight,Mackenzie Dern,Amanda Ribas,fighter1,27,17,1,2,0,0,1,0
Welterweight,Santiago Ponzinibbio,Carlston Harris,fighter1,76,73,0,0,1,1,0,0
Middleweight,Cesar Almeida,Abdul Razak Alhassan,fighter1,20,17,0,0,1,1,0,0
Middleweight,Roman Kopylov,Chris Curtis,fighter1,130,142,1,0,1,0,0,0
Featherweight,Christian Rodriguez,Austin Bashi,fighter1,44,23,2,3,0,0,2,0
Welterweight,Punahele Soriano,Uros Medic,fighter1,13,2,0,0,1,0,0,0
Flyweight,Felipe Bunes,Jose Johnson,fighter1,2,8,0,0,0,0,2,0
Middleweight,Marco Tulio,Ihor Potieria,fighter1,29,6,0,0,1,0,0,0
Lightweight,Thiago Moises,Trey Ogden,fighter1,55,59,0,1,0,0,0,0
Welterweight,Jacobe Smith,Preston Parsons,fighter1,12,7,0,0,1,0,0,0
Women's Flyweight,Ernesta Kareckaite,Nicolle Caliari,fighter1,95,67,0,3,0,0,0,0
Light Heavyweight,Bruno Lopes,Magomed Gadzhiyasulov,fighter1,33,31,5,0,0,0,0,0
Women's Strawweight,Fatima Kline,Viktoriia Dudakova,fighter1,15,1,2,2,0,0,0,0
Lightweight,Nurullo Aliev,Joe Solecki,fighter1,35,28,2,1,0,0,0,1
Welterweight,Joaquin Buckley,Colby Covington,fighter1,75,37,0,1,0,0,1,0
Featherweight,Cub Swanson,Billy Quarantillo,fighter1,99,97,0,3,1,0,0,0
Flyweight,Manel Kape,Bruno Silva,fighter1,111,57,0,0,1,0,0,0
Light Heavyweight,Dustin Jacoby,Vitor Petrino,fighter1,45,40,0,0,1,0,0,0
Bantamweight,Daniel Marcos,Adrian Yanez,fighter1,86,79,2,0,0,0,0,0
Light Heavyweight,Navajo Stirling,Tuco Tokkos,fighter1,78,32,0,3,0,0,0,0
Lightweight,Michael Johnson,Ottman Azaitar,fighter1,19,16,0,0,1,0,0,0
Lightweight,Joel Alvarez,Drakkar Klose,fighter1,20,7,0,1,0,0,0,0
Featherweight,Sean Woodson,Fernando Padilla,fighter1,38,22,0,0,1,0,0,0
Featherweight,Felipe Lima,Miles Johns,fighter1,55,31,2,0,0,0,1,0
Women's Flyweight,Miranda Maverick,Jamey-Lyn Horth,fighter1,24,15,2,1,0,0,0,1
Bantamweight,Davey Grant,Ramon Taveras,fighter1,147,69,0,0,0,0,0,0
Women's Strawweight,Piera Rodriguez,Josefine Knutsson,fighter1,36,26,8,0,0,0,0,0
Flyweight,Alexandre Pantoja,Kai Asakura,fighter1,32,17,3,0,0,0,1,0
Welterweight,Shavkat Rakhmonov,Ian Machado Garry,fighter1,37,42,2,1,0,0,0,2
Heavyweight,Ciryl Gane,Alexander Volkov,fighter1,43,39,2,3,0,0,2,1
Featherweight,Bryce Mitchell,Kron Gracie,fighter1,26,6,2,0,0,0,0,1
Featherweight,Dooho Choi,Nate Landwehr,fighter1,78,25,4,0,0,0,0,0
Light Heavyweight,Dominick Reyes,Anthony Smith,fighter1,121,21,0,0,0,0,0,0
Welterweight,Vicente Luque,Themba Gorimbo,fighter1,2,5,0,0,0,0,1,0
Featherweight,Movsar Evloev,Aljamain Sterling,fighter1,8,12,4,6,0,0,0,0
Welterweight,Bryan Battle,Randy Brown,fighter1,57,60,0,2,0,0,0,0
Catch Weight,Eryk Anders,Chris Weidman,fighter1,62,16,0,0,0,1,0,1
Flyweight,Joshua Van,Cody Durden,fighter1,165,70,0,2,0,0,0,0
Welterweight,Michael Chiesa,Max Griffin,fighter1,13,10,2,0,0,0,1,0
Lightweight,Chase Hooper,Clay Guida,fighter1,7,5,3,0,0,0,1,0
Heavyweight,Kennedy Nzechukwu,Lukasz Brzeski,fighter1,29,32,0,0,1,0,0,0
Bantamweight,Petr Yan,Deiveson Figueiredo,fighter1,121,53,1,2,0,0,0,0
Women's Strawweight,Yan Xiaonan,Tabatha Ricci,fighter1,78,15,0,1,0,0,0,0
Welterweight,Muslim Salikhov,Song Kenan,fighter1,20,9,0,0,1,0,0,0
Women's Flyweight,Gabriella Fernandes,Wang Cong,fighter1,18,46,0,0,1,0,1,0
Light Heavyweight,Carlos Ulberg,Volkan Oezdemir,fighter1,98,96,0,0,0,0,0,0
Light Heavyweight,Zhang Mingyang,Ozzy Diaz,fighter1,17,9,0,0,1,0,0,0
Bantamweight,SuYoung You,Baergeng Jieleyisi,fighter1,42,9,2,1,0,0,0,0
Flyweight,DongHun Choi,Kiru Sahota,fighter1,12,2,0,0,1,0,0,0
Women's Strawweight,Shi Ming,Feng Xiaocan,fighter1,30,48,1,0,1,0,0,0
Flyweight,Carlos Hernandez,Nyamjargal Tumendemberel,fighter1,44,26,4,0,0,1,0,1
Flyweight,Lone'er Kavanagh,Jose Ochoa,fighter1,51,50,0,0,0,0,0,1
Bantamweight,Xiao Long,Quang Le,fighter1,87,64,0,1,1,0,0,0
Lightweight,Nikolas Motta,Maheshate,fighter1,78,56,0,0,2,0,0,0
